,round,split,duplicates,distortion,precision,recall,f1score
0,-1,,0.1,0,0.980198,0.9519231,0.9658537
1,-1,,1,1,0.9815287,0.712766,0.8258307
2,-1,,1,0,0.9942001,0.9562994,0.9748815
3,-1,,8,0,1.0,0.9477668,0.9731831
4,-1,,100,0,1.0,0.9524953,0.9756698
5,-1,,8,1,0.9977944,0.6833837,0.8111888
6,-1,,0.1,1,0.9671053,0.7033493,0.8144044
7,-1,,100,1,0.9987954,0.6638644,0.7975952
8,-2,,8,0,1.0,0.948221,0.9734224
9,-2,,0.1,0,0.2765363,0.9519231,0.4285714
10,-2,,1,0,0.992304,0.9590888,0.9754137
11,-2,,0.1,1,0.2629921,0.7990431,0.3957346
12,-2,,1,1,0.9689214,0.7354302,0.836182
13,-2,,8,1,0.9985745,0.6348943,0.776249
14,-2,,100,0,1.0,0.9515612,0.9751795
15,-2,,100,1,0.9986851,0.6080865,0.7559094
16,-3,,0.1,1,0.9864865,0.6985646,0.8179272
17,-3,,100,0,0.9991606,0.9530291,0.9755498
18,-3,,1,1,0.9819704,0.7053654,0.820996
19,-3,,8,0,1.0,0.948221,0.9734224
20,-3,,0.1,0,0.9850746,0.9519231,0.9682152
21,-3,,8,1,0.9980757,0.705136,0.8264141
22,-3,,100,1,0.9988578,0.7001601,0.8232525
23,-3,,1,0,0.9941691,0.9511855,0.9722024
24,-4,,100,1,0.9913136,0.8680278,0.9255834
25,-4,,100,0,1.0,0.9516947,0.9752496
26,-4,,8,0,1.0,0.9468584,0.9727039
27,-4,,0.1,0,0.9802956,0.9567308,0.9683698
28,-4,,1,0,0.9956522,0.958159,0.9765458
29,-4,,0.1,1,0.6033898,0.8516746,0.7063492
30,-4,,1,1,0.9350325,0.8654024,0.898871
31,-4,,8,1,0.9936795,0.8787009,0.9326599
32,-5,,0.1,1,0.3083779,0.8277512,0.4493506
33,-5,,8,1,0.996863,0.8640483,0.9257161
34,-5,,8,0,1.0,0.9483724,0.9735022
35,-5,,1,1,0.9187743,0.873728,0.8956852
36,-5,,0.1,0,0.3430034,0.9663462,0.5062972
37,-5,,100,1,0.9981156,0.8481452,0.9170394
38,-5,,1,0,0.9913628,0.9604835,0.9756789
39,-5,,100,0,1.0,0.9519616,0.9753897
40,-6,,100,1,0.9969447,0.87083,0.9296296
41,-6,,0.1,1,0.2630792,0.8421053,0.4009112
42,-6,,1,1,0.9197652,0.8695652,0.893961
43,-6,,100,0,1.0,0.9516947,0.9752496
44,-6,,8,0,0.9998404,0.948221,0.9733468
45,-6,,0.1,0,0.9661836,0.9615385,0.9638554
46,-6,,1,0,0.9951691,0.9576941,0.976072
47,-6,,8,1,0.9906764,0.8827795,0.9336209
48,-7,,1,1,0.9625138,0.8075856,0.8782696
49,-7,,8,1,0.9923913,0.8274924,0.9024712
50,-7,,8,0,1.0,0.9483724,0.9735022
51,-7,,0.1,1,0.9289941,0.7511962,0.8306878
52,-7,,0.1,0,0.9704433,0.9471154,0.9586375
53,-7,,100,0,1.0,0.9519616,0.9753897
54,-7,,100,1,0.9932875,0.809581,0.8920747
55,-7,,1,0,0.9966036,0.9549047,0.9753086
56,-8,,0.1,1,0.1683468,0.7990431,0.2781016
57,-8,,0.1,0,0.1930165,0.9567308,0.3212268
58,-8,,1,0,0.9937198,0.9562994,0.9746506
59,-8,,100,0,1.0,0.9524953,0.9756698
60,-8,,100,1,0.9988273,0.7955698,0.8856867
61,-8,,1,1,0.9370667,0.8126735,0.8704484
62,-8,,8,0,1.0,0.9479182,0.9732629
63,-8,,8,1,0.9974288,0.8203927,0.9002901
64,-9,,8,0,1.0,0.9491294,0.9739009
65,-9,,1,1,0.9568306,0.8098982,0.8772545
66,-9,,100,1,0.9970497,0.811716,0.8948878
67,-9,,1,0,0.9970902,0.9558345,0.9760266
68,-9,,8,1,0.9945907,0.8332326,0.9067894
69,-9,,100,0,1.0,0.9530291,0.9759497
70,-9,,0.1,1,0.9120879,0.7942584,0.8491049
71,-9,,0.1,0,0.9704433,0.9471154,0.9586375
72,-10,,1,0,0.9961146,0.95351,0.9743468
73,-10,,100,1,0.9961155,0.7870296,0.8793142
74,-10,,0.1,0,0.9704433,0.9471154,0.9586375
75,-10,,8,0,1.0,0.9491294,0.9739009
76,-10,,8,1,0.996394,0.7930514,0.8831693
77,-10,,100,0,1.0,0.9526288,0.9757398
78,-10,,0.1,1,0.9426752,0.708134,0.8087432
79,-10,,1,1,0.9770614,0.7289547,0.8349669
80,-11,,100,1,0.9998257,0.7655458,0.8671403
81,-11,,0.1,0,0.28125,0.9519231,0.4342105
82,-11,,8,1,0.9984595,0.7832326,0.8778464
